############################################################################################################
# SARS-CoV domain general terms
#
# A small vocabulary of concepts related to the above. 
# Produced by SciBite Limited 2020
# Distributed under GPL
# Please retain this header in any copies of this file
# Data, licence and information at https://scibite.info/cv19
#
# Format:
# Identifier <tab> Primary Name <tab> Synonyms (separated by pipe characters)
# Hash character (#) denotes a comment
#
# Please note: SciBite customers may obtain a version of this file suitable for use in TERMite, please
# contact us via the helpdesk
#
############################################################################################################
#identifier	name	syns
GO_0039513	suppression by virus of host catalytic activity	down-regulation by virus of host enzyme activity | negative regulation by virus of host catalytic activity | downregulation by virus of host catalytic activity
GO_0039634	killing by virus of host cell during superinfection exclusion	killing by virus of host cells involved in superinfection exclusion | killing by virus of host cells during superinfection exclusion
GO_0039635	suppression by virus of host peptidoglycan biosynthetic process	suppression by virus of host peptidoglycan biosynthetic process
GO_0039514	suppression by virus of host JAK-STAT cascade	downregulation by virus of host JAK-STAT cascade | down-regulation by virus of host JAK-STAT cascade | negative regulation by virus of host JAK-STAT cascade
GO_0039632	RNA translocase activity involved in viral RNA genome packaging	RNA packaging ATPase activity
GO_0039511	suppression by virus of host interferon receptor activity	down-regulation by virus of host interferon receptor activity | inhibition of host interferon receptors by virus | negative regulation by virus of host interferon receptor activity | downregulation by virus of host interferon receptor activity
GO_0039633	killing by virus of host cell	killing by virus of host cells
GO_0039512	suppression by virus of host protein tyrosine kinase activity	negative regulation by virus of host protein tyrosine kinase activity | down-regulation by virus of host protein tyrosine kinase activity | downregulation by virus of host protein tyrosine kinase activity
GO_0039517	modulation by virus of host protein serine/threonine phosphatase activity	regulation by virus of host protein serine/threonine phosphatase activity | modulation by virus of protein serine/threonine phosphatase activity in host
GO_0039638	lipopolysaccharide-mediated virion attachment to host cell	virion attachment, binding to host lipopolysaccharide | LPS binding involved in viral attachment to host cell | lipopolysaccharide binding involved in viral attachment to host cell
GO_0039518	suppression by virus of host cytokine activity	negative regulation by virus of host cytokine activity | down-regulation by virus of host cytokine activity | downregulation by virus of host cytokine activity
GO_0039636	suppression by virus of host cell wall biogenesis	suppression by virus of host cell wall biogenesis
GO_0039516	modulation by virus of host catalytic activity	regulation of host catalytic activity by virus | modulation of catalytic activity of host by virus | regulation by virus of host catalytic activity
GO_0039637	catabolism by virus of host DNA	catabolism by virus of host DNA
GO_0039510	suppression by virus of host ATP-dependent RNA helicase activity	negative regulation by virus of host ATP-dependent RNA helicase activity | downregulation by virus of host ATP-dependent RNA helicase activity | down-regulation by virus of host ATP-dependent RNA helicase activity
GO_0039631	DNA translocase activity involved in viral DNA genome packaging	DNA translocase activity involved in viral DNA genome packaging
# end
